Index,Site_Id,Latitude(degrees),Longitude(degrees)
5,CA-ARF,-83.955,52.7008
10,CA-Ca1,-125.3336,49.8673
19,CA-Ca2,-125.2909,49.8705
28,CA-Ca3,-124.9004,49.5346
47,CA-Cbo,-79.9333,44.3167
63,CA-Cha,-67.3569,45.8847
65,CA-DB2,-122.9951,49.119
67,CA-DBB,-122.9849,49.1293
74,CA-ER1,-80.4123,43.6405
92,CA-MA1,-97.8762,50.1645
95,CA-MA2,-97.8762,50.171
98,CA-MA3,-97.8686,50.1774
108,CA-Na1,-67.1,46.4722
111,CA-Oas,-106.1978,53.6289
129,CA-SF1,-105.8176,54.485
133,CA-SF2,-105.8775,54.2539
142,CA-TP1,-80.5595,42.6609
158,CA-TP2,-80.4588,42.7744
164,CA-TP3,-80.3483,42.7068
180,CA-TP4,-80.3574,42.7102
195,MX-Aog,-108.7892,26.9968
218,US-A32,-97.8198,36.8193
221,US-A74,-97.5489,36.8085
241,US-ARM,-97.4888,36.6058
260,US-ASH,-120.201,36.1697
262,US-ASL,-120.1024,36.9466
266,US-Bar,-71.2881,44.0646
280,US-Bi1,-121.4993,38.0992
286,US-Bi2,-121.5351,38.1091
297,US-BMM,-110.7776,45.783
300,US-Bo1,-88.2904,40.0062
315,US-BZB,-148.3208,64.6955
318,US-BZF,-148.3121,64.7013
321,US-BZS,-148.3235,64.6963
323,US-Ced,-74.3791,39.8379
333,US-CF1,-117.0821,46.7815
338,US-CF2,-117.0908,46.784
343,US-CF3,-117.1261,46.7551
348,US-CF4,-117.1285,46.7518
353,US-CPk,-106.1187,41.068
358,US-CRT,-83.3471,41.6285
361,US-CS1,-89.5379,44.1031
363,US-CS2,-89.5002,44.1467
368,US-CS4,-89.5475,44.1597
372,US-DFK,-89.7154,43.3453
374,US-Dia,-121.5296,37.6773
381,US-Dk1,-79.0934,35.9712
390,US-Dk3,-79.0942,35.9782
397,US-DPW,-81.4361,28.0521
402,US-Elm,-80.7826,25.5519
408,US-EML,-149.2536,63.8784
420,US-Esm,-80.5946,25.4379
426,US-Fcr,-148.9348,65.3968
430,US-Fmf,-111.7273,35.1426
436,US-Fuf,-111.762,35.089
442,US-Fwf,-111.7718,35.4454
448,US-GBT,-106.2397,41.3658
450,US-GLE,-106.2399,41.3665
467,US-Ha2,-72.1779,42.5393
483,US-Hn2,-119.4641,46.6889
486,US-Hn3,-119.4614,46.6878
488,US-Ho1,-68.7402,45.2041
507,US-Ho2,-68.747,45.2091
520,US-Ho3,-68.725,45.2072
529,US-HRC,-91.7517,34.5888
532,US-HWB,-77.8488,40.8608
536,US-ICh,-149.2958,68.6068
550,US-ICs,-149.311,68.6058
578,US-Jo1,-106.635,32.582
588,US-Jo2,-106.6032,32.5849
598,US-JRn,-80.1646,39.6789
600,US-KFS,-95.1907,39.0561
612,US-KL1,-85.4422,42.4847
624,US-KL2,-85.4468,42.4768
636,US-KL3,-85.4473,42.4735
656,US-KM1,-85.3287,42.4376
668,US-KM2,-85.3098,42.4441
680,US-KM3,-85.3105,42.4464
692,US-KM4,-85.3301,42.4423
720,US-KS1,-80.6709,28.4583
721,US-KS2,-80.6715,28.6086
725,US-KUT,-93.1863,44.995
730,US-LL1,-84.5329,31.2792
751,US-LL3,-84.4787,31.2688
760,US-Los,-89.9792,46.0827
768,US-LS1,-110.1403,31.5615
773,US-LS2,-110.1344,31.5659
778,US-MC1,-114.1548,48.1873
799,US-Me6,-121.6078,44.3233
811,US-MH1,-108.2414,45.9206
812,US-MH2,-108.1978,45.9699
813,US-Mj1,-109.6137,46.9948
815,US-Mj2,-109.6295,46.9957
816,US-MOz,-92.2,38.7441
832,US-Mpj,-106.2377,34.4385
846,US-MSR,-111.7207,47.4758
847,US-MtB,-110.7256,32.416
859,US-MVW,-111.4889,47.6729
860,US-Myb,-121.765,38.0499
872,US-NC1,-76.7119,35.8118
880,US-NC2,-76.6685,35.803
896,US-NC3,-76.656,35.799
903,US-NC4,-75.9038,35.7879
915,US-NGB,-156.6092,71.28
923,US-NGC,-163.7002,64.8618
926,US-NR1,-105.5464,40.0329
946,US-NR3,-105.5864,40.052
948,US-NR4,-105.5859,40.052
970,US-ONA,-81.9509,27.3836
977,US-PFb,-90.3232,45.972
978,US-PFc,-90.3088,45.9677
979,US-PFd,-90.301,45.9689
980,US-PFg,-90.2723,45.9735
981,US-PFh,-90.2406,45.9557
985,US-PFL,-90.3177,45.9409
986,US-PFm,-90.3099,45.9207
987,US-PFn,-90.2823,45.9392
988,US-PFp,-90.2641,45.9365
989,US-PFq,-90.2475,45.9271
990,US-PFt,-90.2288,45.9197
991,US-PHM,-70.8301,42.7423
999,US-Prr,-147.4876,65.1237
1006,US-PSH,-119.9247,36.2347
1008,US-PSL,-120.1397,36.8276
1010,US-Rls,-116.7356,43.1439
1017,US-Rms,-116.7486,43.0645
1037,US-Ro2,-93.0888,44.7288
1039,US-Ro3,-93.0893,44.7217
1043,US-Ro4,-93.0723,44.6781
1051,US-Ro5,-93.0576,44.691
1056,US-Ro6,-93.0578,44.6946
1061,US-Rpf,-147.429,65.1198
1074,US-Rwe,-116.7591,43.0653
1079,US-Rwf,-116.7231,43.1207
1086,US-Rws,-116.7132,43.1675
1093,US-SdH,-101.4072,42.0693
1099,US-Seg,-106.702,34.3623
1113,US-Ses,-106.7442,34.3349
1128,US-Slt,-74.596,39.9138
1138,US-Snd,-121.754,38.0366
1146,US-Sne,-121.7547,38.0369
1151,US-Snf,-121.7272,38.0402
1164,US-SP2,-82.2448,29.7648
