Index,Site_Id,Latitude(degrees),Longitude(degrees)
0,CA-ARB,-83.9452,52.695
5,CA-ARF,-83.955,52.7008
10,CA-Ca1,-125.3336,49.8673
28,CA-Ca3,-124.9004,49.5346
47,CA-Cbo,-79.9333,44.3167
63,CA-Cha,-67.3569,45.8847
74,CA-ER1,-80.4123,43.6405
81,CA-LP1,-122.8414,55.1119
92,CA-MA1,-97.8762,50.1645
95,CA-MA2,-97.8762,50.171
101,CA-Man,-98.4808,55.8796
108,CA-Na1,-67.1,46.4722
111,CA-Oas,-106.1978,53.6289
129,CA-SF1,-105.8176,54.485
133,CA-SF2,-105.8775,54.2539
137,CA-SF3,-106.0053,54.0916
142,CA-TP1,-80.5595,42.6609
158,CA-TP2,-80.4588,42.7744
180,CA-TP4,-80.3574,42.7102
195,MX-Aog,-108.7892,26.9968
198,MX-Tes,-109.2977,27.8446
203,US-A03,-149.8823,70.4953
208,US-A10,-156.6149,71.3242
218,US-A32,-97.8198,36.8193
221,US-A74,-97.5489,36.8085
223,US-Akn,-81.5653,33.3825
226,US-ALQ,-89.6067,46.0308
233,US-AR1,-99.42,36.4267
237,US-AR2,-99.5975,36.6358
260,US-ASH,-120.201,36.1697
262,US-ASL,-120.1024,36.9466
264,US-ASM,-120.2026,36.1777
280,US-Bi1,-121.4993,38.0992
286,US-Bi2,-121.5351,38.1091
300,US-Bo1,-88.2904,40.0062
315,US-BZB,-148.3208,64.6955
318,US-BZF,-148.3121,64.7013
323,US-Ced,-74.3791,39.8379
333,US-CF1,-117.0821,46.7815
338,US-CF2,-117.0908,46.784
343,US-CF3,-117.1261,46.7551
353,US-CPk,-106.1187,41.068
358,US-CRT,-83.3471,41.6285
361,US-CS1,-89.5379,44.1031
363,US-CS2,-89.5002,44.1467
366,US-CS3,-89.5727,44.1394
369,US-DFC,-89.7117,43.3448
372,US-DFK,-89.7154,43.3453
374,US-Dia,-121.5296,37.6773
377,US-Dix,-74.4346,39.9712
381,US-Dk1,-79.0934,35.9712
383,US-Dk2,-79.1004,35.9736
390,US-Dk3,-79.0942,35.9782
397,US-DPW,-81.4361,28.0521
402,US-Elm,-80.7826,25.5519
408,US-EML,-149.2536,63.8784
420,US-Esm,-80.5946,25.4379
430,US-Fmf,-111.7273,35.1426
436,US-Fuf,-111.762,35.089
442,US-Fwf,-111.7718,35.4454
448,US-GBT,-106.2397,41.3658
450,US-GLE,-106.2399,41.3665
467,US-Ha2,-72.1779,42.5393
478,US-HBK,-71.7181,43.9397
486,US-Hn3,-119.4614,46.6878
488,US-Ho1,-68.7402,45.2041
507,US-Ho2,-68.747,45.2091
520,US-Ho3,-68.725,45.2072
526,US-HRA,-91.7517,34.5852
536,US-ICh,-149.2958,68.6068
564,US-ICt,-149.3041,68.6063
578,US-Jo1,-106.635,32.582
588,US-Jo2,-106.6032,32.5849
612,US-KL1,-85.4422,42.4847
624,US-KL2,-85.4468,42.4768
636,US-KL3,-85.4473,42.4735
648,US-KLS,-97.5684,38.7745
656,US-KM1,-85.3287,42.4376
668,US-KM2,-85.3098,42.4441
680,US-KM3,-85.3105,42.4464
692,US-KM4,-85.3301,42.4423
704,US-Kon,-96.5603,39.0824
720,US-KS1,-80.6709,28.4583
721,US-KS2,-80.6715,28.6086
730,US-LL1,-84.5329,31.2792
742,US-LL2,-84.4449,31.201
751,US-LL3,-84.4787,31.2688
760,US-Los,-89.9792,46.0827
773,US-LS2,-110.1344,31.5659
778,US-MC1,-114.1548,48.1873
779,US-Me2,-121.5574,44.4523
799,US-Me6,-121.6078,44.3233
811,US-MH1,-108.2414,45.9206
812,US-MH2,-108.1978,45.9699
813,US-Mj1,-109.6137,46.9948
815,US-Mj2,-109.6295,46.9957
816,US-MOz,-92.2,38.7441
846,US-MSR,-111.7207,47.4758
847,US-MtB,-110.7256,32.416
859,US-MVW,-111.4889,47.6729
860,US-Myb,-121.765,38.0499
872,US-NC1,-76.7119,35.8118
880,US-NC2,-76.6685,35.803
896,US-NC3,-76.656,35.799
903,US-NC4,-75.9038,35.7879
915,US-NGB,-156.6092,71.28
926,US-NR1,-105.5464,40.0329
960,US-Oho,-83.8438,41.5545
970,US-ONA,-81.9509,27.3836
975,US-OWC,-82.5125,41.3795
977,US-PFb,-90.3232,45.972
978,US-PFc,-90.3088,45.9677
979,US-PFd,-90.301,45.9689
980,US-PFg,-90.2723,45.9735
981,US-PFh,-90.2406,45.9557
982,US-PFi,-90.2327,45.9749
984,US-PFk,-90.3425,45.9149
985,US-PFL,-90.3177,45.9409
986,US-PFm,-90.3099,45.9207
987,US-PFn,-90.2823,45.9392
988,US-PFp,-90.2641,45.9365
989,US-PFq,-90.2475,45.9271
990,US-PFt,-90.2288,45.9197
991,US-PHM,-70.8301,42.7423
999,US-Prr,-147.4876,65.1237
1008,US-PSL,-120.1397,36.8276
1017,US-Rms,-116.7486,43.0645
1024,US-Ro1,-93.0898,44.7143
1037,US-Ro2,-93.0888,44.7288
1039,US-Ro3,-93.0893,44.7217
1051,US-Ro5,-93.0576,44.691
1061,US-Rpf,-147.429,65.1198
1074,US-Rwe,-116.7591,43.0653
1086,US-Rws,-116.7132,43.1675
1093,US-SdH,-101.4072,42.0693
1113,US-Ses,-106.7442,34.3349
1128,US-Slt,-74.596,39.9138
1138,US-Snd,-121.754,38.0366
1146,US-Sne,-121.7547,38.0369
1151,US-Snf,-121.7272,38.0402
1154,US-SP1,-82.2188,29.7381
1164,US-SP2,-82.2448,29.7648
1171,US-SP3,-82.1633,29.7548
1187,US-SRG,-110.8277,31.7894
1201,US-SRM,-110.8661,31.8214
1219,US-Srr,-122.0264,38.2006
1223,US-SRS,-110.8508,31.8173
1231,US-StJ,-75.4372,39.0882
1234,US-Syv,-89.3477,46.242
1249,US-Ton,-120.966,38.4309
1268,US-Tw1,-121.6469,38.1074
1278,US-Tw2,-121.6365,38.0969
1280,US-Tw3,-121.6469,38.1152
1286,US-Tw4,-121.6413,38.1027
1294,US-Tw5,-121.6426,38.1072
1297,US-Twt,-121.6531,38.1087
1306,US-Uaf,-147.8555,64.8663
1324,US-UiA,-88.1961,40.0646
1325,US-UMB,-84.7138,45.5598
1374,US-Vcm,-106.5321,35.8884
1389,US-Vcp,-106.5967,35.8642
1406,US-WCr,-90.0799,45.8059
1418,US-Whs,-110.0522,31.7438
1433,US-Wi1,-91.2329,46.7305
1434,US-Wi2,-91.1528,46.6869
1435,US-Wi3,-91.0987,46.6347
1438,US-Wi4,-91.1663,46.7393
1442,US-Wi5,-91.0858,46.6531
1443,US-Wi6,-91.2982,46.6249
1445,US-Wi7,-91.0693,46.6491
1446,US-Wi8,-91.2524,46.7223
1464,US-Wkg,-109.9419,31.7365
1482,US-Wlr,-96.855,37.5208
1502,US-xAB,-122.3303,45.7624
1511,US-xBA,-156.6194,71.2824
1515,US-xBL,-78.0716,39.0603
1520,US-xBN,-147.5026,65.154
1525,US-xBR,-71.2873,44.0639
1534,US-xCP,-104.7456,40.8155
1539,US-xDC,-99.1066,47.1617
1544,US-xDJ,-145.7514,63.8811
1549,US-xDL,-87.8039,32.5417
1558,US-xGR,-83.5019,35.689
1563,US-xHA,-72.1727,42.5369
1573,US-xJE,-84.4686,31.1948
1578,US-xJR,-106.8425,32.5907
1583,US-xKA,-96.6129,39.1104
1597,US-xMB,-109.3883,38.2483
1600,US-xML,-80.5248,37.3783
1604,US-xNG,-100.9154,46.7697
1613,US-xNW,-105.5824,40.0543
1617,US-xRM,-105.5459,40.2759
1622,US-xRN,-84.2826,35.9641
1624,US-xSB,-81.9934,29.6893
1627,US-xSE,-76.56,38.8901
1632,US-xSJ,-119.7323,37.1088
1640,US-xSR,-110.8355,31.9107
1645,US-xST,-89.5864,45.5089
1650,US-xTA,-87.3933,32.9505
1655,US-xTL,-149.3705,68.6611
1660,US-xTR,-89.5857,45.4937
1665,US-xUK,-95.1921,39.0404
1670,US-xUN,-89.5373,46.2339
1675,US-xWD,-99.2414,47.1282
1680,US-xWR,-121.9519,45.8205
1684,US-xYE,-110.5391,44.9535
