SITE_ID,Latitude,Longitude,StartYear,EndYear,In_Dataset_1,In_Dataset_2,In_Dataset_3
AR-CCg,-35.9244,-61.1855,2018,2023,1,0,0
AR-SLu,-33.4648,-66.4598,2000,2024,0,1,0
AR-TF1,-54.9733,-66.7335,2016,2018,1,0,1
AR-TF2,-54.8269,-68.4549,2016,2018,0,0,1
BR-CST,-7.9682,-38.3842,2014,2015,1,0,1
BR-Npw,-16.498,-56.412,2013,2017,1,1,1
BR-Sa1,-2.8567,-54.9589,2000,2024,0,1,0
BR-Sa3,-3.018,-54.9714,2000,2024,0,1,0
CA-ARB,52.695,-83.9452,2011,2015,1,0,1
CA-ARF,52.7008,-83.955,2011,2015,1,0,1
CA-BOU,50.5244,-63.2064,2018,2020,1,0,0
CA-Ca1,49.8673,-125.3336,1996,2010,1,0,1
CA-Ca2,49.8705,-125.2909,1999,2010,1,0,1
CA-Ca3,49.5346,-124.9004,2000,2020,0,0,1
CA-Cbo,44.3167,-79.9333,1994,2020,1,0,1
CA-CF1,58.6658,-93.83,2007,2008,1,0,0
CA-Cha,45.8847,-67.3569,2004,2005,0,0,1
CA-DB2,49.119,-122.9951,2019,2020,1,0,1
CA-DBB,49.1293,-122.9849,2014,2020,1,0,1
CA-EM1,50.3623,-100.2024,2021,2023,1,0,0
CA-ER1,43.6405,-80.4123,2015,2021,1,0,1
CA-Gro,48.2167,-82.1556,2003,2014,1,1,0
CA-HPC,68.3203,-133.5188,2018,2018,1,0,0
CA-LP1,55.1119,-122.8414,2007,2022,1,0,1
CA-MA1,50.1645,-97.8762,2009,2011,1,0,1
CA-MA2,50.171,-97.8762,2009,2011,1,0,1
CA-MA3,50.1774,-97.8686,2009,2011,1,0,1
CA-Man,55.8796,-98.4808,2000,2024,0,1,1
CA-Na1,46.4722,-67.1,2003,2005,0,0,1
CA-NS1,55.8792,-98.4839,2001,2005,1,1,0
CA-NS2,55.9058,-98.5247,2001,2005,1,1,0
CA-NS3,55.9117,-98.3822,2001,2005,1,1,0
CA-NS4,55.9144,-98.3806,2001,2005,1,1,0
CA-NS5,55.8631,-98.485,2001,2005,1,1,0
CA-NS6,55.9167,-98.9644,2001,2005,1,1,0
CA-NS7,56.6358,-99.9483,2001,2005,1,1,0
CA-Oas,53.6289,-106.1978,2000,2024,0,1,1
CA-Obs,53.9872,-105.1178,2000,2024,0,1,1
CA-Qc2,49.7598,-74.5711,2007,2010,1,0,0
CA-Qfo,49.6925,-74.3421,2003,2010,1,1,0
CA-SCB,61.3089,-121.2984,2014,2019,1,1,0
CA-SCC,61.3079,-121.2992,2013,2016,1,1,0
CA-SF1,54.485,-105.8176,2003,2006,1,1,1
CA-SF2,54.2539,-105.8775,2001,2006,1,1,1
CA-SF3,54.0916,-106.0053,2000,2024,0,1,1
CA-TP1,42.6609,-80.5595,2002,2017,1,1,1
CA-TP2,42.7744,-80.4588,2000,2024,0,1,1
CA-TP3,42.7068,-80.3483,2002,2017,1,1,1
CA-TP4,42.7102,-80.3574,2000,2024,0,1,1
CA-TPD,42.6353,-80.5577,2012,2017,1,1,1
CL-SDF,-41.883,-73.676,2014,2022,1,0,0
GF-Guy,5.2788,-52.9249,2000,2024,0,1,0
MX-Aog,26.9968,-108.7892,2016,2018,0,0,1
MX-PMm,20.8462,-86.8992,2017,2018,0,0,1
MX-Tes,27.8446,-109.2977,2004,2008,1,0,1
PA-SPn,9.3181,-79.6346,2000,2024,0,1,0
PA-SPs,9.3138,-79.6314,2000,2024,0,1,0
PE-QFR,-3.8344,-73.319,2018,2019,1,0,1
PR-xGU,17.9696,-66.8687,2018,2021,0,0,1
PR-xLA,18.0212,-67.0769,2018,2021,0,0,1
US-A03,70.4953,-149.8823,2000,2024,0,1,1
US-A10,71.3242,-156.6149,2000,2024,0,1,1
US-A32,36.8193,-97.8198,2015,2017,1,0,1
US-A74,36.8085,-97.5489,2015,2017,1,0,1
US-Akn,33.3825,-81.5653,2011,2022,1,0,1
US-ALQ,46.0308,-89.6067,2015,2024,1,0,1
US-An1,68.99,-150.28,2008,2019,0,0,1
US-An2,68.95,-150.21,2008,2019,0,0,1
US-An3,68.93,-150.27,2008,2019,0,0,1
US-AR1,36.4267,-99.42,2009,2012,1,1,1
