SITE_ID,Latitude,Longitude,Start Year,End Year
IT-La2,45.9542,11.2853,2000,2002
RU-Cok,70.8291,147.4943,2003,2014
CA-NS7,56.6358,-99.9483,2002,2005
CH-Oe1,47.2858,7.7319,2002,2008
IT-CA3,42.38,12.0222,2011,2014
MY-PSO,2.973,102.3062,2003,2009
FR-LBr,44.7171,-0.7693,1996,2008
DE-Tha,50.9626,13.5651,1996,2014
AT-Neu,47.1167,11.3175,2002,2012
IT-MBo,46.0147,11.0458,2003,2013
DE-Geb,51.0997,10.9146,2001,2014
ZA-Kru,-25.0197,31.4969,2000,2013
BR-Sa3,-3.018,-54.9714,2000,2004
US-ORv,40.0201,-83.0183,2011,2011
AU-ASM,-22.283,133.249,2010,2014
DE-Zrk,53.8759,12.889,2013,2014
US-PFa,45.9459,-90.2723,1995,2014
CZ-BK2,49.4944,18.5429,2004,2012
NL-Loo,52.1666,5.7436,1996,2014
ES-Amo,36.8336,-2.2523,2007,2012
FI-Jok,60.8986,23.5134,2000,2003
AU-Fog,-12.5452,131.3072,2006,2008
US-Me5,44.4372,-121.5668,2000,2002
RU-Che,68.613,161.3414,2002,2005
CN-Sw2,41.7902,111.8971,2010,2012
US-Me3,44.3154,-121.6078,2004,2009
BR-Sa1,-2.8567,-54.9589,2002,2011
CN-Du3,42.0551,116.2809,2009,2010
IT-Tor,45.8444,7.5781,2008,2014
IT-Isp,45.8126,8.6336,2013,2014
CA-NS4,55.9144,-98.3806,2002,2005
DE-Lkb,49.0996,13.3047,2009,2013
US-ARb,35.5497,-98.0402,2005,2006
FR-Fon,48.4764,2.7801,2005,2014
DK-Eng,55.6905,12.1918,2005,2008
CZ-BK1,49.5021,18.5369,2004,2014
RU-Ha1,54.7252,90.0022,2002,2004
AU-DaS,-14.1593,131.3881,2008,2014
GH-Ank,5.2685,-2.6942,2011,2014
AU-TTE,-22.287,133.64,2012,2014
BE-Lon,50.5516,4.7462,2004,2014
US-Ha1,42.5378,-72.1715,1991,2012
RU-Fyo,56.4615,32.9221,1998,2014
RU-SkP,62.255,129.168,2012,2014
JP-MBF,44.3869,142.3186,2003,2005
AU-Ade,-13.0769,131.1178,2007,2009
ES-Ln2,36.9695,-3.4758,2009,2009
FI-Let,60.6418,23.9595,2009,2012
IT-Lav,45.9562,11.2813,2003,2014
AU-Emr,-23.8587,148.4746,2011,2013
RU-Sam,72.3738,126.4958,2002,2014
CN-Din,23.1733,112.5361,2003,2005
ES-LJu,36.9266,-2.7521,2004,2013
IT-Ro2,42.3903,11.9209,2002,2012
GF-Guy,5.2788,-52.9249,2004,2014
CN-Dan,30.4978,91.0664,2004,2005
PA-SPs,9.3138,-79.6314,2007,2009
CA-Gro,48.2167,-82.1556,2003,2014
US-Me4,44.4992,-121.6224,1996,2000
IT-Cpz,41.7052,12.3761,1997,2009
SJ-Adv,78.186,15.923,2011,2014
US-LWW,34.9604,-97.9789,1997,1998
CA-NS1,55.8792,-98.4839,2001,2005
AU-Lox,-34.4704,140.6551,2008,2009
US-Atq,70.4696,-157.4089,2003,2008
CN-Cng,44.5934,123.5092,2007,2010
DE-Hai,51.0792,10.4522,2000,2012
DE-Kli,50.8931,13.5224,2004,2014
DK-Sor,55.4859,11.6446,1996,2014
CA-TPD,42.6353,-80.5577,2012,2014
US-MMS,39.3232,-86.4131,1999,2014
DE-Obe,50.7867,13.7213,2008,2014
GL-NuF,64.1308,-51.3861,2008,2014
IT-Col,41.8494,13.5881,1996,2014
AU-Tum,-35.6566,148.1517,2002,2014
CA-NS6,55.9167,-98.9644,2001,2005
US-Sta,41.3966,-106.8024,2005,2009
GL-ZaF,74.4814,-20.5545,2008,2011
IT-Noe,40.6062,8.1517,2004,2014
DE-Seh,50.8706,6.4497,2007,2010
AU-Dry,-15.2588,132.3706,2008,2014
AU-How,-12.4943,131.1523,2001,2014
CA-NS5,55.8631,-98.485,2001,2005
SE-St1,68.3541,19.0503,2012,2014
SN-Dhr,15.4028,-15.4322,2010,2013
IT-BCi,40.5237,14.9574,2004,2014
AR-SLu,-33.4648,-66.4598,2009,2011
CH-Fru,47.1158,8.5378,2005,2014
AU-RDF,-14.5636,132.4776,2011,2013
CA-NS2,55.9058,-98.5247,2001,2005
CH-Dav,46.8153,9.8559,1997,2014
US-Me1,44.5794,-121.5,2004,2005
DE-Akm,53.8662,13.6834,2009,2014
AU-GWW,-30.1913,120.6541,2013,2014
CG-Tch,-4.2892,11.6564,2006,2009
US-ARc,35.5465,-98.04,2005,2006
US-Ne3,41.1797,-96.4397,2001,2013
GL-ZaH,74.4733,-20.5503,2000,2014
US-Lin,36.3566,-119.0922,2009,2010
US-Ne2,41.1649,-96.4701,2001,2013
DE-SfN,47.8064,11.3275,2012,2014
IT-PT1,45.2009,9.061,2002,2004
US-Wi0,46.6188,-91.0814,2002,2002
CA-Qfo,49.6925,-74.3421,2003,2010
US-IB2,41.8406,-88.241,2004,2011
IT-CA1,42.3804,12.0266,2011,2014
CN-Ha2,37.6086,101.3269,2003,2005
DE-Spw,51.8922,14.0337,2010,2014
ES-LgS,37.0979,-2.9658,2007,2009
SD-Dem,13.2829,30.4783,2005,2009
CN-HaM,37.37,101.18,2002,2004
AU-Stp,-17.1507,133.3502,2008,2014
DK-Fou,56.4842,9.5872,2005,2005
CZ-wet,49.0247,14.7704,2006,2014
SJ-Blv,78.9216,11.8311,2008,2009
AU-DaP,-14.0633,131.3181,2007,2013
FR-Gri,48.8442,1.9519,2004,2014
IT-Ren,46.5869,11.4337,1998,2013
AU-Rob,-17.1175,145.6301,2014,2014
IT-Ro1,42.4081,11.93,2000,2008
NL-Hor,52.2403,5.0713,2004,2011
AU-Wac,-37.4259,145.1878,2005,2008
FI-Lom,67.9972,24.2092,2007,2009
RU-Tks,71.5943,128.8878,2010,2014
CN-Cha,42.4025,128.0958,2003,2005
FI-Sod,67.3624,26.6386,2001,2014
PA-SPn,9.3181,-79.6346,2007,2009
DE-Lnf,51.3282,10.3678,2002,2012
AU-Cum,-33.6152,150.7236,2012,2014
CN-Qia,26.7414,115.0581,2003,2005
AU-Cpr,-34.0021,140.5891,2010,2014
BE-Vie,50.3049,5.9981,1996,2014
CH-Oe2,47.2864,7.7337,2004,2014
US-Ivo,68.4865,-155.7503,2004,2007
BE-Bra,51.3076,4.5198,1996,2014
IT-SRo,43.7279,10.2844,1999,2012
DE-Gri,50.95,13.5126,2004,2014
IT-SR2,43.732,10.2909,2013,2014
ZM-Mon,-15.4391,23.2525,2000,2009
AU-Ync,-34.9893,146.2907,2012,2014
FR-Pue,43.7413,3.5957,2000,2014
IT-CA2,42.3772,12.026,2011,2014
US-Ne1,41.1651,-96.4766,2001,2013
AU-Gin,-31.3764,115.7138,2011,2014
US-Goo,34.2547,-89.8735,2002,2006
AR-Vir,-28.2395,-56.1886,2009,2012
CA-NS3,55.9117,-98.3822,2001,2005
DE-RuR,50.6219,6.3041,2011,2014
IT-Cp2,41.7043,12.3573,2012,2014
CH-Cha,47.2102,8.4104,2005,2014
CH-Lae,47.4783,8.3644,2004,2014
JP-SMF,35.2617,137.0788,2002,2006
US-Cop,38.09,-109.39,2001,2007
AU-Whr,-36.6732,145.0294,2011,2014
DE-RuS,50.8659,6.4471,2011,2014
FI-Hyy,61.8474,24.2948,1996,2014
AU-Rig,-36.6499,145.5759,2011,2014
CN-Du2,42.0467,116.2836,2006,2008
AU-Wom,-37.4222,144.0944,2010,2014
